"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"23.10.2024","628,50","624,73","628,50","623,90","39,50K","0,59%"
"22.10.2024","624,80","625,85","626,50","619,50","35,49K","0,19%"
"21.10.2024","623,60","617,80","624,45","616,00","35,26K","1,18%"
"18.10.2024","616,30","610,68","621,00","610,68","43,65K","0,67%"
"17.10.2024","612,21","609,06","613,35","608,50","30,23K","0,44%"
"16.10.2024","609,50","601,93","610,05","601,50","33,17K","1,13%"
"15.10.2024","602,70","600,88","602,88","597,50","28,93K","0,42%"
"14.10.2024","600,20","596,80","602,20","595,33","34,13K","0,54%"
"11.10.2024","596,99","590,18","597,36","589,00","22,29K","1,12%"
"10.10.2024","590,40","588,60","590,40","585,64","24,04K","0,38%"
"09.10.2024","588,14","595,00","595,99","586,00","31,24K","-0,89%"
"08.10.2024","593,40","594,05","597,45","592,31","29,11K","-0,31%"
"30.09.2024","595,25","597,68","598,56","591,54","32,86K","-0,22%"
"27.09.2024","596,55","600,00","600,79","594,82","34,31K","-0,11%"
"26.09.2024","597,20","596,00","599,30","596,00","25,18K","0,23%"
"25.09.2024","595,80","591,90","599,15","590,70","33,11K","0,64%"
"24.09.2024","592,00","593,00","594,50","590,78","29,44K","0,05%"
"23.09.2024","591,70","589,85","593,70","586,00","35,26K","0,65%"
"20.09.2024","587,90","584,96","588,20","581,60","32,62K","0,88%"
"19.09.2024","582,80","583,30","586,13","578,66","27,88K","0,14%"
"18.09.2024","582,00","583,51","584,80","581,80","18,10K","-0,10%"
"13.09.2024","582,60","574,51","583,80","574,22","40,26K","1,37%"
"12.09.2024","574,70","574,68","574,90","571,30","21,93K","-0,10%"
"11.09.2024","575,30","572,69","575,50","571,20","32,26K","0,52%"
"10.09.2024","572,31","570,50","572,60","569,44","20,90K","0,48%"
"09.09.2024","569,60","571,06","574,10","565,13","30,99K","-0,52%"
"06.09.2024","572,60","572,85","573,60","570,40","23,61K","0,23%"
"05.09.2024","571,28","568,60","571,50","567,00","27,94K","0,69%"
