"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"23.10.2024","223,75","222,50","224,25","221,00","39,99K","0,11%"
"22.10.2024","223,50","223,50","224,25","221,50","47,22K","-0,33%"
"21.10.2024","224,25","227,50","228,00","223,50","33,52K","-0,99%"
"18.10.2024","226,50","231,00","231,25","226,00","36,55K","-1,63%"
"17.10.2024","230,25","228,25","230,50","226,75","28,71K","1,10%"
"16.10.2024","227,75","225,50","228,25","225,00","34,01K","0,66%"
"15.10.2024","226,25","227,25","228,00","225,00","47,02K","-1,09%"
"14.10.2024","228,75","228,25","232,00","226,50","34,81K","-0,11%"
"11.10.2024","229,00","231,25","232,75","228,25","34,55K","-0,97%"
"10.10.2024","231,25","231,00","232,75","229,00","36,28K","1,09%"
"09.10.2024","228,75","231,00","234,00","228,25","58,48K","-0,44%"
"08.10.2024","229,75","228,00","230,25","226,50","35,15K","0,55%"
"07.10.2024","228,50","228,50","230,50","225,00","37,76K","-0,11%"
"04.10.2024","228,75","229,00","230,00","226,50","53,92K","-1,51%"
"03.10.2024","232,25","232,25","234,25","231,00","51,77K","-0,64%"
"02.10.2024","233,75","229,00","235,00","228,50","92,49K","2,75%"
"01.10.2024","227,50","220,25","228,25","220,00","84,24K","2,36%"
"30.09.2024","222,25","220,50","223,00","219,75","31,35K","0,57%"
"27.09.2024","221,00","221,25","222,25","218,25","35,74K","-0,11%"
"26.09.2024","221,25","220,50","223,75","220,50","51,05K","0,34%"
"25.09.2024","220,50","218,25","221,50","216,50","53,95K","0,80%"
"24.09.2024","218,75","219,50","221,75","218,25","41,22K","-0,68%"
"23.09.2024","220,25","216,50","221,00","216,25","42,85K","1,97%"
"20.09.2024","216,00","216,25","217,75","215,00","36,94K","0,12%"
"19.09.2024","215,75","217,75","218,25","214,75","54,88K","-1,26%"
"18.09.2024","218,50","220,25","222,50","218,25","37,11K","-0,34%"
"17.09.2024","219,25","222,00","222,75","218,25","43,28K","-0,57%"
"16.09.2024","220,50","224,25","224,25","220,25","38,45K","-2,00%"
"13.09.2024","225,00","224,00","228,00","224,00","53,74K","1,01%"
"12.09.2024","222,75","224,50","226,50","222,25","54,28K","-0,11%"
"11.09.2024","223,00","221,75","223,50","220,25","37,28K","18,15%"
"10.09.2024","188,75","194,00","200,00","184,75","0,18K","-2,71%"
"09.09.2024","194,00","198,00","198,50","194,00","0,36K","-2,51%"
"06.09.2024","199,00","203,75","207,50","198,00","1,23K","-2,33%"
"05.09.2024","203,75","206,00","210,50","202,75","1,26K","-1,45%"
"04.09.2024","206,75","206,75","207,25","202,00","2,51K","1,35%"
"03.09.2024","204,00","205,75","207,25","201,25","3,72K","-1,09%"
"02.09.2024","206,25","205,25","207,25","203,50","3,76K","0,24%"
"30.08.2024","205,75","202,50","206,25","202,00","5,97K","1,73%"
"29.08.2024","202,25","198,25","202,50","197,00","8,66K","1,89%"
"28.08.2024","198,50","194,00","199,00","193,50","12,39K","2,45%"
"27.08.2024","193,75","189,50","194,25","189,50","8,15K","2,24%"
"26.08.2024","189,50","194,00","195,00","189,00","19,82K","-2,57%"
"23.08.2024","194,50","197,00","198,25","193,75","11,34K","-1,14%"
"22.08.2024","196,75","200,25","201,00","195,50","19,60K","-1,25%"
"21.08.2024","199,25","204,00","205,00","198,50","23,33K","-2,33%"
"20.08.2024","204,00","202,50","206,00","202,25","20,84K","0,74%"
"19.08.2024","202,50","204,25","206,50","201,75","13,62K","-1,34%"
"16.08.2024","205,25","201,75","208,00","201,75","37,18K","1,86%"
"15.08.2024","201,50","208,00","209,00","201,00","29,58K","-2,30%"
"14.08.2024","206,25","210,00","210,00","205,50","33,60K","-2,14%"
"13.08.2024","210,75","213,50","214,00","210,50","29,85K","-1,75%"
"12.08.2024","214,50","216,00","216,25","213,25","28,04K","-1,15%"
"09.08.2024","217,00","218,00","220,00","216,75","15,31K","0,00%"
"08.08.2024","217,00","215,75","218,50","215,50","34,12K","0,81%"
"07.08.2024","215,25","220,25","222,50","214,50","53,88K","-1,37%"
"06.08.2024","218,25","215,50","219,25","215,25","27,31K","1,16%"
"05.08.2024","215,75","218,75","218,75","215,00","28,65K","-1,82%"
"02.08.2024","219,75","220,00","221,75","219,00","16,80K","-0,23%"
"01.08.2024","220,25","220,50","223,75","218,25","26,21K","0,00%"
"31.07.2024","220,25","214,75","221,00","214,75","40,63K","2,32%"
"30.07.2024","215,25","215,50","216,50","214,25","33,40K","-0,35%"
"29.07.2024","216,00","215,25","218,75","215,00","28,78K","-0,58%"
"26.07.2024","217,25","220,25","223,00","216,75","27,19K","-1,14%"
"25.07.2024","219,75","222,50","222,50","218,75","34,25K","-1,24%"
"24.07.2024","222,50","222,75","224,75","221,25","42,39K","-1,11%"
"23.07.2024","225,00","225,50","225,75","222,25","28,78K","-0,33%"
"22.07.2024","225,75","224,75","227,50","223,75","43,47K","0,89%"
"19.07.2024","223,75","215,25","224,75","215,00","51,25K","4,07%"
"18.07.2024","215,00","215,25","216,75","214,00","32,06K","0,00%"
"17.07.2024","215,00","214,25","217,00","213,50","31,49K","0,35%"
"16.07.2024","214,25","213,75","216,00","211,50","41,71K","0,35%"
"15.07.2024","213,50","216,00","216,50","213,00","35,06K","-2,95%"
"12.07.2024","220,00","222,00","222,25","218,25","28,42K","-1,46%"
